campaign,worker_count,version,backend,trial,process_ms,pipeline_ms,hash_work_ms,setup_sum_ms,gpu_hashes,gpu_peak,cold_start_cpu_sum,verified,binarysha
unified-w4,4,baseline,no-pgo,3,931.26569991,884.582,3476.137,103.632,3,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w4,4,baseline,auto,4,913.8937999960035,866.824,3397.33,121.779,1,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w4,4,new,cpu,4,856.2688000965863,826.361,3181.975,0.0,0,0,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w4,4,new,auto,4,1192.7517000585794,1123.907,3860.481,488.701,12,4,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w4,4,baseline,no-pgo,4,961.6087998729199,907.923,3617.651,96.716,4,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w4,4,new,no-pgo,4,1106.0042001772672,1047.355,3710.765,363.779,16,4,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w4,4,baseline,cpu,4,990.2202999219298,965.059,3702.024,0.0,0,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w20,20,baseline,no-pgo,0,771.492299856618,707.508,6787.432,123.493,1,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w20,20,new,no-pgo,0,1124.9331999570131,1011.848,6900.428,4451.6849999999995,16,12,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w20,20,new,cpu,0,695.4189999960363,651.209,6776.55,0.0,0,0,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w20,20,baseline,cpu,0,689.7833000402898,652.227,6667.703,0.0,0,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w20,20,baseline,auto,0,680.3624001331627,619.803,6413.704,134.002,2,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w20,20,new,auto,0,894.1301999147981,774.608,7679.681,3181.595,16,12,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w20,20,baseline,auto,1,748.3809001278132,687.738,6877.767,124.419,1,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w20,20,baseline,cpu,1,646.5628000441939,611.407,6363.257,0.0,0,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w20,20,new,cpu,1,648.3439998701215,604.369,6471.342,0.0,0,0,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w20,20,new,auto,1,956.9367000367492,841.541,6756.358,2637.074,16,9,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w20,20,new,no-pgo,1,824.383300030604,722.912,7236.373,608.644,16,14,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w20,20,baseline,no-pgo,1,692.437699995935,633.476,7074.491,165.767,1,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
