stage,workload,workers,block_mib,trial,warmup,arm,phase,process_ms,verified,hashed,cached,read_bytes,cpu_hashes,gpu_hashes,gpu_setup_ms,calibration_ms,pgo_enabled,pgo_samples,pgo_exploration_jobs,gpu_overflow_jobs,cpu_spill_jobs
prototype,small,4,1,6,False,new-auto,fresh,1523.7368000671268,True,20000,0,348672000,20000,0,0.0,0.0,1,310,0,0,0
prototype,small,4,1,6,False,new-auto,cache,614.8153999820352,True,0,20000,0,0,0,0.0,0.0,1,0,0,0,0
prototype,small,4,1,6,False,new-cpu,fresh,1679.100199835375,True,20000,0,348672000,20000,0,0.0,0.0,1,311,0,0,0
prototype,small,4,1,6,False,new-cpu,cache,511.4988998975605,True,0,20000,0,0,0,0.0,0.0,1,0,0,0,0
prototype,small,4,1,6,False,baseline-auto,fresh,1481.706399936229,True,20000,0,348672000,20000,0,0.0,0.0,,,,0,0
prototype,small,4,1,6,False,baseline-auto,cache,493.3279000688344,True,0,20000,0,0,0,0.0,0.0,,,,0,0
prototype,tex-like,20,64,-1,True,new-no-pgo,fresh,4051.18630011566,True,20001,0,102093184,20000,1,197.495,0.0,0,0,0,0,0
prototype,tex-like,20,64,-1,True,new-no-pgo,cache,1099.6681000106037,True,0,20001,0,0,0,0.0,0.0,0,0,0,0,0
prototype,tex-like,20,64,-1,True,new-cpu,fresh,3832.7831998467445,True,20001,0,102093184,20001,0,0.0,0.0,1,303,0,0,0
prototype,tex-like,20,64,-1,True,new-cpu,cache,998.4881000127643,True,0,20001,0,0,0,0.0,0.0,1,0,0,0,0
prototype,tex-like,20,64,-1,True,baseline-auto,fresh,4560.398000059649,True,20001,0,102093184,20000,1,761.04,573.234,,,,0,0
prototype,tex-like,20,64,-1,True,baseline-auto,cache,1045.1931999996305,True,0,20001,0,0,0,0.0,0.0,,,,0,0
prototype,tex-like,20,64,-1,True,new-auto,fresh,4125.050900038332,True,20001,0,102093184,20000,1,296.454,146.633,1,302,0,0,0
prototype,tex-like,20,64,-1,True,new-auto,cache,1012.4793001450598,True,0,20001,0,0,0,0.0,0.0,1,0,0,0,0
prototype,tex-like,20,64,0,False,new-no-pgo,fresh,3900.127299828455,True,20001,0,102093184,20000,1,164.75,0.0,0,0,0,0,0
prototype,tex-like,20,64,0,False,new-no-pgo,cache,1094.8159999679774,True,0,20001,0,0,0,0.0,0.0,0,0,0,0,0
prototype,tex-like,20,64,0,False,new-cpu,fresh,4241.943100001663,True,20001,0,102093184,20001,0,0.0,0.0,1,303,0,0,0
prototype,tex-like,20,64,0,False,new-cpu,cache,1028.4470999613404,True,0,20001,0,0,0,0.0,0.0,1,0,0,0,0
prototype,tex-like,20,64,0,False,baseline-auto,fresh,4847.963700070977,True,20001,0,102093184,20000,1,796.226,554.535,,,,0,0
prototype,tex-like,20,64,0,False,baseline-auto,cache,1059.3276000581682,True,0,20001,0,0,0,0.0,0.0,,,,0,0
